年,月,日,時,音樂skill(0),股市skill(1),新聞skill(2),天氣skill(3),食譜skill(4),星座skill(5)   (喜歡在晚上聽音樂，出門會問個天氣，有空時會想問星座)
2018,1,1,19,1,0,0,0,0,0
2018,1,1,20,1,0,0,0,0,0
2018,1,1,23,1,0,0,0,0,0
2018,1,2,19,1,0,0,0,0,0
2018,1,2,21,1,0,0,0,0,0
2018,1,2,22,1,0,0,0,0,0
2018,1,3,7,0,0,0,1,0,0
2018,1,3,19,1,0,0,0,0,0
2018,1,3,23,0,0,0,0,0,1
2018,1,3,23,0,0,0,0,0,1
2018,1,4,7,0,0,0,1,0,0
2018,1,4,20,1,0,0,0,0,0
2018,1,4,22,1,0,0,0,0,0
2018,1,4,23,1,0,0,0,0,0
2018,1,4,23,0,0,0,0,0,1
2018,1,4,23,0,0,0,0,0,1
2018,1,5,8,0,0,0,1,0,0
2018,1,5,19,1,0,0,0,0,0
2018,1,5,20,1,0,0,0,0,0
2018,1,6,7,0,0,0,1,0,0
2018,1,6,8,0,0,0,1,0,0
2018,1,6,19,1,0,0,0,0,0
2018,1,6,20,1,0,0,0,0,0
2018,1,7,7,0,0,0,1,0,0
2018,1,7,19,1,0,0,0,0,0
2018,1,7,22,0,0,0,0,0,1
2018,1,7,22,0,0,0,0,0,1
2018,1,8,19,1,0,0,0,0,0
2018,1,8,7,0,0,0,1,0,0
2018,1,8,20,1,0,0,0,0,0
2018,1,9,7,0,0,0,1,0,0
2018,1,9,20,1,0,0,0,0,0
2018,1,9,22,0,0,0,0,0,1
2018,1,9,22,0,0,0,0,0,1
2018,1,10,20,1,0,0,0,0,0
2018,1,10,20,1,0,0,0,0,0
2018,1,10,20,0,0,1,0,0,0
2018,1,11,21,1,0,0,0,0,0
2018,1,11,21,0,0,0,0,0,1
2018,1,11,22,0,0,0,0,0,1
2018,1,11,22,0,0,0,0,0,1
2018,1,11,20,1,0,0,0,0,0
2018,1,11,20,1,0,0,0,0,0
2018,1,11,20,1,0,0,0,0,0
2018,1,11,21,1,0,0,0,0,0
2018,1,11,21,1,0,0,0,0,0
2018,1,11,21,1,0,0,0,0,0
2018,1,11,22,0,0,0,0,0,1
2018,1,11,22,0,0,0,0,0,1
2018,1,11,22,0,0,0,0,0,1
2018,1,12,7,0,0,0,1,0,0
2018,1,12,7,0,0,0,1,0,0
2018,1,12,19,1,0,0,0,0,0
2018,1,12,19,1,0,0,0,0,0
2018,1,12,19,1,0,0,0,0,0
2018,1,12,20,1,0,0,0,0,0
2018,1,12,20,0,0,0,0,0,1
2018,1,12,21,0,0,0,0,0,1
2018,1,14,20,1,0,0,0,0,0
2018,1,14,20,1,0,0,0,0,0
2018,1,14,20,1,0,0,0,0,0
2018,1,14,21,1,0,0,0,0,0
2018,1,14,21,1,0,0,0,0,0
2018,1,15,20,1,0,0,0,0,0
2018,1,15,20,1,0,0,0,0,0
2018,1,15,20,1,0,0,0,0,0
2018,1,15,21,1,0,0,0,0,0
2018,1,15,21,1,0,0,0,0,0
2018,1,15,20,0,0,0,0,0,1
2018,1,15,21,0,0,0,0,0,1
2018,1,16,7,0,0,0,1,0,0
2018,1,16,8,0,0,0,1,0,0
2018,1,19,7,0,0,0,1,0,0
2018,1,20,21,1,0,0,0,0,0
2018,1,20,22,0,0,0,0,0,1
2018,1,20,22,0,0,0,0,0,1
2018,1,21,7,0,0,0,1,0,0
2018,1,22,21,1,0,0,0,0,0
2018,1,22,21,1,0,0,0,0,0
2018,1,23,20,1,0,0,0,0,0
2018,1,23,20,1,0,0,0,0,0
2018,1,24,21,1,0,0,0,0,0
2018,1,24,22,1,0,0,0,0,0
2018,1,25,21,1,0,0,0,0,0
2018,1,25,21,1,0,0,0,0,0
2018,1,25,21,1,0,0,0,0,0
2018,1,26,21,1,0,0,0,0,0
2018,1,26,21,1,0,0,0,0,0
2018,1,27,21,1,0,0,0,0,0
2018,1,27,21,1,0,0,0,0,0
2018,1,28,21,1,0,0,0,0,0
2018,1,29,21,1,0,0,0,0,0
2018,1,29,21,1,0,0,0,0,0
2018,1,30,7,0,0,0,1,0,0
2018,1,31,8,0,0,0,1,0,0
2018,2,1,19,1,0,0,0,0,0
2018,2,1,22,1,0,0,0,0,0
2018,2,2,19,1,0,0,0,0,0
2018,2,2,19,1,0,0,0,0,0
2018,2,3,19,1,0,0,0,0,0
2018,2,4,20,1,0,0,0,0,0
2018,2,5,20,1,0,0,0,0,0
2018,2,6,20,1,0,0,0,0,0
2018,2,7,20,0,1,0,0,0,0
2018,2,8,21,1,0,0,0,0,0
2018,2,8,21,1,0,0,0,0,0
2018,2,9,21,0,0,0,0,0,1
2018,2,10,22,0,0,0,0,0,1
2018,2,10,22,0,0,0,0,0,1
2018,2,11,22,0,0,0,0,0,1
2018,2,11,21,1,0,0,0,0,0
2018,2,12,21,1,0,0,0,0,0
2018,2,13,22,1,0,0,0,0,0
2018,2,14,21,1,0,0,0,0,0
2018,2,15,20,1,0,0,0,0,0
2018,2,15,22,1,0,0,0,0,0
2018,2,16,7,0,0,0,1,0,0
2018,2,16,8,0,0,0,1,0,0
2018,2,16,23,1,0,0,0,0,0
2018,2,16,22,1,0,0,0,0,0
2018,2,16,23,1,0,0,0,0,0
2018,2,17,22,1,0,0,0,0,0
2018,2,17,23,1,0,0,0,0,0
2018,2,18,22,1,0,0,0,0,0
2018,2,18,23,1,0,0,0,0,0
2018,2,19,7,0,0,0,1,0,0
2018,2,19,20,1,0,0,0,0,0
2018,2,20,20,1,0,0,0,0,0
2018,2,21,7,0,0,0,1,0,0
2018,2,23,20,1,0,0,0,0,0
2018,2,24,20,1,0,0,0,0,0
2018,2,25,20,1,0,0,0,0,0
2018,2,27,7,0,0,0,1,0,0
2018,2,28,8,0,0,0,1,0,0
2018,2,28,19,1,0,0,0,0,0
